name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Kaiser Thomas,6103,🇩🇪 (Germany),0,50-54,https://utmb.world/en/runner/4786966.thomas.kaiser,Thomas KAISER
Koengeter Gerd,6336,🇩🇪 (Germany),0,70-74,https://utmb.world/en/runner/288606.hans.kongeter,Hans KÖNGETER
Kokozinski Andre,6380,🇩🇪 (Germany),0,,,
Kokozinski Lukas,6385,🇩🇪 (Germany),0,,,
Koscielniak Bartosz,6323,🇩🇪 (Germany),0,40-44,https://utmb.world/en/runner/658150.bartosz.koscielniak,Bartosz KOSCIELNIAK
Krammer Rainer,6413,🇦🇹 (Austria),0,35-39,https://utmb.world/en/runner/1573523.rainer.krammer,Rainer KRAMMER
Kuhn Jonas,6180,🇩🇪 (Germany),0,35-39,https://utmb.world/en/runner/675470.jonas.kuhn,Jonas KUHN
Kümmler Volker,6388,🇩🇪 (Germany),0,50-54,https://utmb.world/en/runner/171856.volker.kummler,Volker KUMMLER
Leiterer Reik,6151,🇨🇭 (Switzerland),0,75-79,https://utmb.world/en/runner/45671.sebastian.reiterer,Sebastian REITERER
Lingner Peter,6339,🇩🇪 (Germany),0,20-34,https://utmb.world/en/runner/4015996.peter.lingner,Peter LINGNER
Löffel Stefan,6216,🇩🇪 (Germany),0,,,
Lührs Henrik,6049,🇩🇪 (Germany),0,65-69,https://utmb.world/en/runner/69533.bernd.luhrs,Bernd LÜHRS
Lüttermann Malte,6390,🇦🇹 (Austria),0,55-59,https://utmb.world/en/runner/344577.andreas.bittermann,Andreas BITTERMANN
Melchert Johannes,6102,🇦🇹 (Austria),0,55-59,https://utmb.world/en/runner/1551597.bernhard.melcher,Bernhard MELCHER
Mörz Siegfried,6159,🇦🇹 (Austria),0,,,
Nedelcu Alexandru,6308,🇷🇴 (Romania),0,35-39,https://utmb.world/en/runner/2969279.alexandru.nedelcu,Alexandru NEDELCU
