name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Müller Marc,4696,🇩🇪 (Germany),495,35-39,https://utmb.world/en/runner/5393416.marc.muller,Marc MÜLLER
Richert Axel,4490,🇩🇪 (Germany),494,20-34,https://utmb.world/en/runner/5305728.axel.richert,Axel RICHERT
Weiss Paul,4691,🇮🇹 (Italy),493,20-34,https://utmb.world/en/runner/5306822.paul.weiss,Paul WEISS
Korn Roland,4713,🇩🇪 (Germany),492,35-39,https://utmb.world/en/runner/951527.roland.korn,Roland KORN
Rotter Philipp,4342,🇩🇪 (Germany),492,20-34,https://utmb.world/en/runner/4580020.lukas.rotter,Lukas ROTTER
Stuhl Moritz,4365,🇩🇪 (Germany),492,45-49,https://utmb.world/en/runner/168507.matthias.stuhl,Matthias STUHL
Jonaitis Darius,4776,🇱🇹 (Lithuania),490,50-54,https://utmb.world/en/runner/3553515.darius.jonaitis,Darius JONAITIS
Fuchs Eric,4832,🇩🇪 (Germany),489,20-34,https://utmb.world/en/runner/5493060.eric.fuchs,Eric FUCHS
Gnemmi Andrea,4294,🇮🇹 (Italy),489,55-59,https://utmb.world/en/runner/1996645.andrea.gnemmi,Andrea GNEMMI
Przystaw Maxim,4751,🇩🇪 (Germany),489,35-39,https://utmb.world/en/runner/3486767.maxim.przystaw,Maxim PRZYSTAW
Kühnemann Pablo,4484,🇩🇪 (Germany),488,20-34,https://utmb.world/en/runner/5305746.pablo.kuhnemann,Pablo KÜHNEMANN
Jäger Clemens,4268,🇦🇹 (Austria),487,40-44,https://utmb.world/en/runner/4461482.clemens.jager,Clemens JÄGER
Wolfart David,4470,🇦🇹 (Austria),487,50-54,https://utmb.world/en/runner/4460924.david.wolfart,David WOLFART
de Haas Freek,4649,🇳🇱 (Netherlands),487,55-59,https://utmb.world/en/runner/1502413.marc.dehaas,Marc DE HAAS
Texler Norbert,4263,🇦🇹 (Austria),486,60-64,https://utmb.world/en/runner/5306026.norbert.texler,Norbert TEXLER
Fankhauser Johannes,4460,🇦🇹 (Austria),480,20-34,https://utmb.world/en/runner/5305298.johannes.fankhauser,Johannes FANKHAUSER
Hechenberger Philipp,4202,🇦🇹 (Austria),480,20-34,https://utmb.world/en/runner/5305854.philipp.hechenberger,Philipp HECHENBERGER
Meyer Gerald,4799,🇩🇪 (Germany),480,50-54,https://utmb.world/en/runner/479340.gerald.meyer,Gerald MEYER
Meyer Dominik,4411,🇩🇪 (Germany),479,20-34,https://utmb.world/en/runner/4221629.dominik.meyer,Dominik MEYER
Metzdorf Götz,4333,🇩🇪 (Germany),478,60-64,https://utmb.world/en/runner/4461006.goetz.metzdorf,Goetz METZDORF
Unterluggauer Alois,4258,🇦🇹 (Austria),478,40-44,https://utmb.world/en/runner/5286830.werner.unterluggauer,Werner UNTERLUGGAUER
Unterluggauer Jan,4240,🇦🇹 (Austria),478,40-44,https://utmb.world/en/runner/5286830.werner.unterluggauer,Werner UNTERLUGGAUER
Schmelzle Elorriaga Mikel,4619,🇩🇪 (Germany),476,20-34,https://utmb.world/en/runner/5373988.jorit.schmelzle,Jorit SCHMELZLE
Ackermann Lukas,4736,🇩🇪 (Germany),474,35-39,https://utmb.world/en/runner/1128791.michael.ackermann,Michael ACKERMANN
Unterluggauer Tim,4222,🇦🇹 (Austria),474,20-34,https://utmb.world/en/runner/4015615.tim.unterluggauer,Tim UNTERLUGGAUER
Schäfer Thomas,4665,🇩🇪 (Germany),473,20-34,https://utmb.world/en/runner/5444414.thomas.schafer,Thomas SCHÄFER
Schmid Yves,4343,🇩🇪 (Germany),471,45-49,https://utmb.world/en/runner/1413077.yves.schmid,Yves SCHMID
Bredar Paul Edgar,4666,🇫🇷 (France),470,20-34,https://utmb.world/en/runner/3148417.pauledgar.bredar,Paul Edgar BREDAR
Moggi Christoph,4835,🇨🇭 (Switzerland),470,60-64,https://utmb.world/en/runner/80636.christoph.moggi,Christoph MOGGI
Dax Adi,4840,🇦🇹 (Austria),467,55-59,https://utmb.world/en/runner/1479309.adi.dax,Adi DAX
Meißner Daniel,4766,🇩🇪 (Germany),467,40-44,https://utmb.world/en/runner/2368627.daniel.meissner,Daniel MEIßNER
Murrer Diego,4828,🇦🇹 (Austria),465,35-39,https://utmb.world/en/runner/4015739.diego.murrer,Diego MURRER
Bavassano Carlo,4408,🇮🇹 (Italy),464,40-44,https://utmb.world/en/runner/4015463.carlo.bavassano,Carlo BAVASSANO
Kopp Christian,4456,🇦🇹 (Austria),464,55-59,https://utmb.world/en/runner/526988.arnold.kopp,Arnold KOPP
Lang Julian,4543,🇩🇪 (Germany),464,20-34,https://utmb.world/en/runner/4461614.julian.lang,Julian LANG
Poloczek Lucas,4349,🇩🇪 (Germany),464,40-44,https://utmb.world/en/runner/4797762.lucas.poloczek,Lucas POLOCZEK
Temmel Peter,4260,🇦🇹 (Austria),464,20-34,https://utmb.world/en/runner/5306590.peter.temmel,Peter TEMMEL
Jenewein Alexander,4633,🇦🇹 (Austria),463,40-44,https://utmb.world/en/runner/5305844.alexander.jenewein,Alexander JENEWEIN
